time,temp,etotal,v_amp
0.0,0.0,-494074.419,-5.25324773e-07
0.1,3.07723792e-10,-494074.419,6.35216624e-06
0.2,2.2838576e-09,-494074.419,-1.86811465e-05
0.3,1.25022938e-08,-494074.419,3.26487624e-05
0.4,4.34240768e-08,-494074.419,-3.05317664e-05
0.5,1.06550989e-07,-494074.419,-1.29154194e-05
0.6,2.46688259e-07,-494074.419,0.000106181927
0.7,5.92517606e-07,-494074.419,-0.000212314861
0.8,1.25844018e-06,-494074.419,0.00025228516
0.9,2.2912292e-06,-494074.419,-0.000160407633
1.0,3.90143245e-06,-494074.419,-4.61349155e-05
1.1,5.64093801e-06,-494074.419,0.000257881351
1.2,5.84010071e-06,-494074.419,-0.000350588641
1.3,5.02882382e-06,-494074.419,0.000283241751
1.4,6.49123551e-06,-494074.419,-0.000122444339
1.5,9.50124603e-06,-494074.419,-2.39437146e-05
1.6,9.90246576e-06,-494074.419,9.09975817e-05
1.7,8.10947938e-06,-494074.419,-8.41115958e-05
1.8,7.36681578e-06,-494074.419,4.62022811e-05
1.9,7.85496722e-06,-494074.419,-1.35797876e-05
2.0,8.20396908e-06,-494074.419,-1.8054851e-06
2.1,8.19180449e-06,-494074.419,4.6653083e-06
2.2,8.11631991e-06,-494074.419,-2.931936e-06
2.3,8.07657253e-06,-494074.419,1.09498999e-06
2.4,8.14147303e-06,-494074.419,-2.18820408e-07
2.5,8.26325077e-06,-494074.419,-1.97804821e-08
2.6,7.90974267e-06,-494074.419,3.47513299e-08
2.7,6.98454307e-06,-494074.419,-1.48488795e-08
2.8,7.52250494e-06,-494074.419,3.77048712e-09
2.9,1.03771034e-05,-494074.419,-5.12298699e-10
3.0,1.04744863e-05,-494074.419,-3.14862122e-11
3.1,5.80173392e-06,-494074.419,3.76099791e-11
3.2,5.2967515e-06,-494074.419,-1.09263086e-11
3.3,1.09365366e-05,-494074.419,1.88636338e-12
3.4,1.09278289e-05,-494074.419,-1.74260624e-13
3.5,5.24218749e-06,-494074.419,-7.28189726e-15
3.6,5.56012883e-06,-494074.419,5.91391853e-15
3.7,9.70383302e-06,-494074.419,-1.16813712e-15
3.8,9.29806002e-06,-494074.419,1.371178e-16
3.9,7.20982238e-06,-494074.419,-8.61223479e-18
4.0,7.60675009e-06,-494074.419,-2.44686078e-19
4.1,8.42940494e-06,-494074.419,1.35110209e-19
4.2,8.27612192e-06,-494074.419,-1.8144908e-20
4.3,8.02521651e-06,-494074.419,1.44811449e-21
4.4,8.02265848e-06,-494074.419,-6.18405067e-23
4.5,8.13644402e-06,-494074.419,-1.19457811e-24
4.6,8.19521421e-06,-494074.419,4.48478447e-25
4.7,8.04344631e-06,-494074.419,-4.09502255e-26
4.8,7.93950769e-06,-494074.419,2.22204343e-27
4.9,8.1911114e-06,-494074.419,-6.45165002e-29
5.0,8.59194603e-06,-494074.419,-8.47345312e-31
5.1,8.46183363e-06,-494074.419,2.16289567e-31
5.2,7.33922033e-06,-494074.419,-1.34276004e-32
5.3,6.73434363e-06,-494074.419,4.95384906e-34
5.4,8.50559723e-06,-494074.419,-9.77933095e-36
5.5,9.78023514e-06,-494074.419,-8.73266683e-38
5.6,7.44936191e-06,-494074.419,1.51554958e-38
5.7,6.10137159e-06,-494074.419,-6.39706998e-40
5.8,8.78343004e-06,-494074.419,1.60462509e-41
5.9,9.78771307e-06,-494074.419,-2.15371419e-43
6.0,7.58347254e-06,-494074.419,-1.30759706e-45
