time,temp,etotal,v_amp
0.0,0.0,-497204.397,-5.25324773e-07
0.1,3.08282333e-10,-497204.397,6.35216624e-06
0.2,2.30562865e-09,-497204.397,-1.86811465e-05
0.3,1.25765135e-08,-497204.397,3.26487624e-05
0.4,4.3468076e-08,-497204.397,-3.05317664e-05
0.5,1.06811345e-07,-497204.397,-1.29154194e-05
0.6,2.49503465e-07,-497204.397,0.000106181927
0.7,5.99016094e-07,-497204.397,-0.000212314861
0.8,1.25773717e-06,-497204.397,0.00025228516
0.9,2.27732794e-06,-497204.397,-0.000160407633
1.0,3.93101375e-06,-497204.397,-4.61349155e-05
1.1,5.77761653e-06,-497204.397,0.000257881351
1.2,5.96497824e-06,-497204.397,-0.000350588641
1.3,4.95114682e-06,-497204.397,0.000283241751
1.4,6.33589651e-06,-497204.397,-0.000122444339
1.5,9.5580412e-06,-497204.397,-2.39437146e-05
1.6,1.01240932e-05,-497204.397,9.09975817e-05
1.7,8.25616995e-06,-497204.397,-8.41115958e-05
1.8,7.4241117e-06,-497204.397,4.62022811e-05
1.9,7.92858308e-06,-497204.397,-1.35797876e-05
2.0,8.29230902e-06,-497204.397,-1.8054851e-06
2.1,8.25904303e-06,-497204.397,4.6653083e-06
2.2,8.18691965e-06,-497204.397,-2.931936e-06
2.3,8.17718073e-06,-497204.397,1.09498999e-06
2.4,8.25547667e-06,-497204.397,-2.18820408e-07
2.5,8.38769644e-06,-497204.397,-1.97804821e-08
2.6,8.03037469e-06,-497204.397,3.47513299e-08
2.7,6.94271094e-06,-497204.397,-1.48488795e-08
2.8,7.29495827e-06,-497204.397,3.77048712e-09
2.9,1.04823288e-05,-497204.397,-5.12298699e-10
3.0,1.10615328e-05,-497204.397,-3.14862122e-11
3.1,5.88199254e-06,-497204.397,3.76099791e-11
3.2,4.82205028e-06,-497204.397,-1.09263086e-11
3.3,1.14607218e-05,-497204.397,1.88636338e-12
3.4,1.20615557e-05,-497204.397,-1.74260624e-13
3.5,5.04062967e-06,-497204.397,-7.28189726e-15
3.6,4.85174706e-06,-497204.397,5.91391853e-15
3.7,1.00885622e-05,-497204.397,-1.16813712e-15
3.8,9.60969626e-06,-497204.397,1.371178e-16
3.9,6.62748208e-06,-497204.397,-8.61223479e-18
4.0,7.39100693e-06,-497204.397,-2.44686078e-19
4.1,8.93836407e-06,-497204.397,1.35110209e-19
4.2,8.62489026e-06,-497204.397,-1.8144908e-20
4.3,8.03826125e-06,-497204.397,1.44811449e-21
4.4,8.06747901e-06,-497204.397,-6.18405067e-23
4.5,8.20144066e-06,-497204.397,-1.19457811e-24
4.6,8.19253562e-06,-497204.397,4.48478447e-25
4.7,8.13052747e-06,-497204.397,-4.09502255e-26
4.8,8.0817371e-06,-497204.397,2.22204343e-27
4.9,8.2159627e-06,-497204.397,-6.45165002e-29
5.0,8.74872852e-06,-497204.397,-8.47345312e-31
5.1,8.95350688e-06,-497204.397,2.16289567e-31
5.2,7.51054729e-06,-497204.397,-1.34276004e-32
5.3,6.09900807e-06,-497204.397,4.95384906e-34
5.4,8.17576067e-06,-497204.397,-9.77933095e-36
5.5,1.04901955e-05,-497204.397,-8.73266683e-38
5.6,7.5098324e-06,-497204.397,1.51554958e-38
5.7,5.07083074e-06,-497204.397,-6.39706998e-40
5.8,9.17831523e-06,-497204.397,1.60462509e-41
5.9,1.14828631e-05,-497204.397,-2.15371419e-43
6.0,7.68662442e-06,-497204.397,-1.30759706e-45
