time,temp,etotal,v_amp
0.0,0.0,-523417.015,-5.25324773e-07
0.1,2.93108622e-10,-523417.015,6.35216624e-06
0.2,2.19211639e-09,-523417.015,-1.86811465e-05
0.3,1.1944688e-08,-523417.015,3.26487624e-05
0.4,4.13054801e-08,-523417.015,-3.05317664e-05
0.5,9.90583074e-08,-523417.015,-1.29154194e-05
0.6,2.23885964e-07,-523417.015,0.000106181927
0.7,5.82017461e-07,-523417.015,-0.000212314861
0.8,1.35653667e-06,-523417.015,0.00025228516
0.9,2.38709813e-06,-523417.015,-0.000160407633
1.0,3.38327018e-06,-523417.015,-4.61349155e-05
1.1,4.54149423e-06,-523417.015,0.000257881351
1.2,6.08341134e-06,-523417.014,-0.000350588641
1.3,7.52868142e-06,-523417.014,0.000283241751
1.4,8.22225474e-06,-523417.014,-0.000122444339
1.5,8.09222322e-06,-523417.014,-2.39437146e-05
1.6,8.20467674e-06,-523417.014,9.09975817e-05
1.7,9.90110452e-06,-523417.014,-8.41115958e-05
1.8,1.13982398e-05,-523417.014,4.62022811e-05
1.9,9.35284868e-06,-523417.014,-1.35797876e-05
2.0,6.24228677e-06,-523417.014,-1.8054851e-06
2.1,7.14235184e-06,-523417.014,4.6653083e-06
2.2,1.00566588e-05,-523417.014,-2.931936e-06
2.3,1.04424917e-05,-523417.014,1.09498999e-06
2.4,9.23940775e-06,-523417.014,-2.18820408e-07
2.5,8.90173828e-06,-523417.014,-1.97804821e-08
2.6,8.79970088e-06,-523417.014,3.47513299e-08
2.7,7.85821497e-06,-523417.014,-1.48488795e-08
2.8,8.00306475e-06,-523417.014,3.77048712e-09
2.9,1.11180193e-05,-523417.014,-5.12298699e-10
3.0,1.29190279e-05,-523417.014,-3.14862122e-11
3.1,8.97796158e-06,-523417.014,3.76099791e-11
3.2,4.98054571e-06,-523417.014,-1.09263086e-11
3.3,7.00602534e-06,-523417.014,1.88636338e-12
3.4,1.06349106e-05,-523417.014,-1.74260624e-13
3.5,1.12172126e-05,-523417.014,-7.28189726e-15
3.6,9.77743433e-06,-523417.014,5.91391853e-15
3.7,6.79497096e-06,-523417.014,-1.16813712e-15
3.8,4.8062553e-06,-523417.014,1.371178e-16
3.9,8.97786295e-06,-523417.014,-8.61223479e-18
4.0,1.48612518e-05,-523417.014,-2.44686078e-19
4.1,1.27058263e-05,-523417.014,1.35110209e-19
4.2,6.43173495e-06,-523417.014,-1.8144908e-20
4.3,5.82183693e-06,-523417.014,1.44811449e-21
4.4,9.01693979e-06,-523417.014,-6.18405067e-23
4.5,1.04834773e-05,-523417.014,-1.19457811e-24
4.6,1.01996202e-05,-523417.014,4.48478447e-25
4.7,8.85084292e-06,-523417.014,-4.09502255e-26
4.8,7.22660265e-06,-523417.014,2.22204343e-27
4.9,7.83656788e-06,-523417.014,-6.45165002e-29
5.0,1.00863369e-05,-523417.014,-8.47345312e-31
5.1,1.04464233e-05,-523417.014,2.16289567e-31
5.2,9.05236123e-06,-523417.014,-1.34276004e-32
5.3,8.51507033e-06,-523417.014,4.95384906e-34
5.4,8.83288161e-06,-523417.014,-9.77933095e-36
5.5,8.81530385e-06,-523417.014,-8.73266683e-38
5.6,8.9026262e-06,-523417.014,1.51554958e-38
5.7,1.00359894e-05,-523417.014,-6.39706998e-40
5.8,1.08514886e-05,-523417.014,1.60462509e-41
5.9,8.86176024e-06,-523417.014,-2.15371419e-43
6.0,6.14147682e-06,-523417.014,-1.30759706e-45
